,Name,Rating,Expertise,Number_of_Employees,Type,Age,Location,Highly_Rated_For,Critically_Rated_For
8061,Vydehi Institute Of Medical Sciences And Research Centre,3.7,Healthcare,1k-5k Employees,Data missing,23 years old,Bengaluru +2 more,Data missing,"Promotions / Appraisal, Salary & Benefits"
8062,Clove Technologies,3.4,IT Services & Consulting,51-200 Employees,Data missing,19 years old,Hyderabad/Secunderabad +2 more,Data missing,"Promotions / Appraisal, Salary & Benefits"
8063,Zicom Electronic Security Systems,3.4,Consumer Electronics & Appliances,201-500 Employees,Public,29 years old,Mumbai +13 more,Data missing,Data missing
8064,Mgm Hospital,3.8,Healthcare,501-1k Employees,Data missing,6 years old,Chennai +11 more,"Skill Development / Learning, Job Security",Data missing
8065,Red Tag,3.9,Retail,11-50 Employees,Data missing,17 years old,Al Khobar +12 more,Skill Development / Learning,Data missing
8066,Kärcher Cleaning Systems,3.6,Data missing,201-500 Employees,Data missing,88 years old,Winnenden +19 more,Salary & Benefits,Data missing
8067,Shrinath Rotopack,4,Packaging,201-500 Employees,Data missing,23 years old,Hyderabad +2 more,"Job Security, Skill Development / Learning, Work Life Balance",Data missing
8068,School of Scholars,4.1,Education & Training,1-10 Employees,Data missing,23 years old,Nagpur +22 more,"Skill Development / Learning, Company Culture, Work Satisfaction",Data missing
8069,Provab Technosoft,3.3,IT Services & Consulting,201-500 Employees,Data missing,20 years old,Bangalore/Bengaluru +1 more,Data missing,"Promotions / Appraisal, Job Security, Salary & Benefits"
8070,Clinic Dermatech,3.8,Beauty & Personal Care,201-500 Employees,Data missing,17 years old,New Delhi +12 more,"Skill Development / Learning, Work Satisfaction",Data missing
8071,Kun Hyundai,4.1,Automobile,51-200 Employees,Data missing,25 years old,Chennai +9 more,"Skill Development / Learning, Job Security, Work Satisfaction",Data missing
8072,Premsons Motor Udyog,3.9,Auto Components,1k-5k Employees,Data missing,27 years old,Ranchi +4 more,Data missing,Data missing
8073,Cico Technologies,4.3,Chemicals,201-500 Employees,Data missing,93 years old,New Delhi +18 more,"Company Culture, Skill Development / Learning, Work Satisfaction",Data missing
8074,Gia India Laboratory,4.1,Jewellery,51-200 Employees,Data missing,92 years old,Mumbai +4 more,"Job Security, Work Life Balance, Company Culture",Data missing
8075,Wizertech Informatics,4,IT Services & Consulting,51-200 Employees,Data missing,23 years old,Kolkata +10 more,"Job Security, Work Satisfaction, Work Life Balance",Data missing
8076,Scott Edil Pharmacia,3.4,Pharma,51-200 Employees,Public,27 years old,Chandigarh +2 more,Data missing,Data missing
8077,Datacomp Web Technologies (i),3.9,IT Services & Consulting,201-500 Employees,Data missing,38 years old,Mumbai +7 more,"Job Security, Skill Development / Learning, Work Life Balance",Data missing
8078,SATTRIX Information Security,2.7,IT Services & Consulting,51-200 Employees,Data missing,10 years old,Ahmedabad +8 more,Data missing,"Company Culture, Promotions / Appraisal, Salary & Benefits"
8079,Lifcare Pharmacy,4,Pharma,51-200 Employees,Data missing,8 years old,Noida +7 more,"Work Life Balance, Skill Development / Learning, Work Satisfaction",Data missing
8080,Harness,4.3,Software Product,201-500 Employees,Startup,7 years old,San Francisco +5 more,"Skill Development / Learning, Company Culture, Work Satisfaction",Data missing
8081,Gsp Power Projects,4,Electronics Manufacturing,51-200 Employees,Data missing,28 years old,New Delhi +24 more,Work Life Balance,Data missing
8082,Eqic Dies & Moulds Engineers,3.7,Industrial Machinery,201-500 Employees,Data missing,35 years old,Hyderabad,Data missing,Promotions / Appraisal
8083,Dezire Research,4.4,Investment Banking / Venture Capital / Private Equity,51-200 Employees,Data missing,7 years old,Indore +1 more,"Skill Development / Learning, Company Culture, Work Satisfaction",Data missing
8084,White Globe,3.4,Content Development,51-200 Employees,Data missing,8 years old,Pune +6 more,Data missing,Data missing
8085,Krishna Ishizaki Auto,4.1,Automobile,51-200 Employees,Data missing,14 years old,Gurgaon +6 more,"Company Culture, Work Life Balance, Work Satisfaction",Data missing
